Problem,Status
Construct a trie from scratch,Yet to do
Find shortest unique prefix for every word in a given list,Yet to do
Word Break Problem | (Trie solution),Yet to do
"Given a sequence of words, print all anagrams together",Yet to do
Implement a Phone Directory,Yet to do
Print unique rows in a given boolean matrix,Yet to do
